verš	verse
vyspělý	mature
čestný	honest
jaksi	sort of
orchestr	orchestra
ujistit	reassure
panna	virgin
módní	fashionable
šetřit	save
zrušení	repeal
bomba	bomb
lež	lie
zpěvačka	singer
nařízení	regulation
vyžádat	ask
tramvaj	streetcar
cenový	price
přestávat	subside
radit	advise
představenstvo	Board of Directors
biologický	biological
ocelový	steel
bazén	swimming pool
móda	fashion
donutit	coerce
zákonný	statutory
spoj	link
těsný	close
smutek	sadness
devátý	ninth
psychologický	psychological
izraelský	Israeli
mj	ia
výročí	anniversary
hlídka	patrol
inscenace	productions
měnový	currency
šílený	crazy
stoupnout	rise
průkaz	card
smluvní	contractual
dokumentace	documentation
rozloučit	say goodbye
oznámení	announcement
suma	sum
existující	existing
nazvaný	called
trvale	permanently
zdravotnický	health
raný	early
W	W
osmý	eighth
naklonit	tilt
založení	foundation
kostka	cube
trénink	training
opilý	drunk
tuhý	tough
úzkost	anxiety
přínos	benefit
vlákno	fiber
libra	pound
nahlas	aloud
kvalifikace	qualification
nakladatelství	publishing house
ozbrojený	armed
plynout	flow
váhat	hesitate
brada	chin
pohodlný	comfortable
pruh	streak
sahat	reach
střela	missile
tvůrčí	creative
srazit	shrink
šok	shock
zřídit	establish
parta	crew
vytváření	creation
léčit	treat
Masaryk	Masaryk
autorita	authority
mobil	cell phone
navštěvovat	visit
zašeptat	whisper
historik	historian
řídící	directional
stabilita	stability
napůl	half
skok	jump
zmocnit	empower
ujmout	take
výkonnost	efficiency
zastřelit	shoot
předek	forefather
digitální	digital
sestava	Report
specializovaný	Specialized
úhel	angle
obřad	ceremony
poškozený	Corrupted
rušit	disturb
nalít	infuse
palec	thumb
Švejk	Svejk
dění	events
pátrat	search
položka	item
pohledávka	claim
přísně	strictly
kdosi	Who are you
záběr	shot
disciplína	discipline
magistrát	City Hall
všímat	notice
připouštět	conceding
akcionář	shareholder
interiér	interior
obtíž	difficulty
Brit	Briton
Brusel	Brussels
podvod	fraud
konkurenční	competitive
kaple	chapel
projet	ride
přitahovat	attract
kožený	leather
romantický	romantic
Maďarsko	Hungary
zoufalý	desperate
balíček	package
podlehnout	succumb
indický	Indian
vtip	joke
respekt	respect
oficiálně	officially
nesmysl	nonsense
pohoda	contentment
pochopitelný	understandable
upřímně	sincerely
psychologie	psychology
šedesátý	sixtieth
zmatek	confusion
šálek	cup
těleso	body
pult	counter
infekce	infection
přizpůsobit	adapt
ředitelka	directress
údržba	maintenance
způsobený	due to
lehnout	lie down
učitelka	teacher
tradičně	traditionally
přátelství	friendship
líčit	narrate
pokrčit	shrug
výběrový	selective
hluboce	profoundly
moudrý	wise
činitel	factor
odhadnout	estimate
Švýcarsko	Switzerland
malovat	paint
miska	bowl
pití	drinking
t	T
diskutovat	debate
potenciál	potential
vajíčko	egg
dovolovat	allowing
logistický	logistic
mráz	frost
oblek	suit
pařížský	Parisian
rozbít	smash
zpětný	reverse
narozeniny	birthday
otcův	his father
zjišťovat	identify
mísa	bowl
doporučení	recommendation
tisknout	press
bezpečně	safely
organizovat	organize
kdežto	while
mechanický	mechanical
definice	definition
desky	Plates
venkovský	country
zákoník	Code
fórum	Forum
optimální	optimum
porušení	violation
ovládnout	dominate
pohřeb	funeral
pravdivý	true
potenciální	potential
věřící	believer
asistent	assistant
rukopis	manuscript
umístění	location
interpretace	interpretation
kauza	case
gymnázium	high school
podzemní	underground
zřetelně	clear
Garp	Garp
pánev	pan
vlevo	left
zabrat	occupy
analytik	analyst
zdánlivě	ostensibly
K	To
kontinent	continent
mimochodem	by the way
Roman	Roman
střídat	alternate
napít se	drink
obléci	dress
kloub	joint
ukončení	termination
výkřik	outcry
hlasování	voting
doposud	yet
pláč	crying
neustálý	unceasing
pleť	complexion
stranický	partial
zvát	invite
server	Server
vyřídit	deal with
Dvořák	Dvorak
házet	throw
šestnáct	sixteen
postupný	progressive
osmnáct	eighteen
statistika	statistics
písmo	font
inflace	inflation
bezpečí	safety
dokazovat	argue
modlit se	pray
vlk	wolf
legrace	fun
Peter	Peter
půjčka	loan
stáří	age
štíhlý	slim
vpravo	right
záhy	soon
odvolání	appeal
účetní	accountant
užívání	usage
nejenom	not only
hezky	nicely
oblouk	arch
porovnání	comparison
spotřebitel	consumer
iluze	illusion
uzavírat	conclude
postoupit	to advance
zopakovat	repeat
lákat	lure
strýc	uncle
doopravdy	really
kaplan	chaplain
třináct	thirteen
popadnout	grab
hejtman	governor
prs	breast
stisknout	press
automobilový	motor
nehet	fingernail
kývnout	nod
ukázka	Sample
konkurs	bankruptcy
kníže	prince
roztok	solution
přeložit	translate
spokojenost	satisfaction
ubohý	wretched
schůze	meeting
bezprostřední	close
strhnout	tear down
pokračování	sequel
poslanecký	deputy
čert	devil
čili	or
jedinečný	unique
rajče	tomato
zdarma	free
konto	account
logika	logic
opravit	fix
frekvence	frequency
náhodný	random
pouštět	run
králík	rabbit
seminář	workshop
křižovatka	intersection
plech	sheet
ocel	steel
meč	sword
pardubický	Pardubice
kabina	cabin
kanada	Canada
regulace	regulation
sukně	skirt
téci	flow
kulatý	round
Rudolf	Rudolf
úleva	relief
švédský	Swedish
dlouhodobě	long term
emise	emission
paprika	pepper
složený	composite
propadnout	fail
fotograf	photographer
posunout	move
salón	salon
tunel	tunnel
večírek	party
průvodce	guide
podrobně	in detail
tah	move
skladatel	composer
budovat	construct
izolace	isolation
Novák	Novak
prášek	powder
využívání	exploitation
hospodaření	economy
prapor	ensign
tvrdě	harshly
desátý	tenth
napadat	challenge
zlomit	break
častě	often
nula	zero
panovat	reign
prezentovat	present
radikální	radical
úraz	accident
pořadatel	organizer
středověký	medieval
chudák	wretch
n	n
stížnost	complaint
záchranný	rescue
svědectví	witness
pata	heel
přesunout	move
vyslat	dispatch
vyslechnout	hear
hůl	staff
kopie	copy
střelec	shooter
koš	basket
H	H
profese	profession
vsadit	wager
náhradní	substitute
hokej	hockey
listina	list
stařec	old man
producent	producer
tragický	tragic
vklad	deposit
ohlásit	announce
transakce	transaction
věznice	jail
bít	beat
dbát	heed
kompletní	complete
software	software
hmyz	insects
osamělý	lonely
záchrana	rescue
právnický	legal
inteligentní	intelligent
pochod	march
cela	cell
únava	fatigue
vtom	in it
zjevně	evidently
doprovod	accompaniment
bilance	balance
zklamat	disappoint
ohrožení	threat
ohrožovat	threaten
kat	hangman
zásadně	basically
povídka	story
manželský	married
vnímání	perception
myš	mouse
Mary	Mary
potěšení	pleasure
napřed	first
tajemný	mysterious
hájit	defend
jídelna	dining room
prezidentský	presidential
had	snake
mlčky	silently
prodejní	sales
kolektivní	collective
rozhlas	radio
přestěhovat	move
klinický	clinical
špičkový	top
následně	then
pusa	kiss
teoretický	theoretic
psací	Writing
dusit	suffocate
rozhlédnout	look around
Jaromír	Jaromír
okamžitý	instant
maďarský	Hungarian
Joe	Joe
šedivý	gray
dovednost	skill
znalec	expert
Ludvík	Lewis
stráž	guard
převést	Convert
odstranění	removal
schéma	scheme
Homer	Homer
lov	hunting
personál	staff
platba	payment
výtah	elevator
and	and
Austrálie	Australia
společník	companion
parlamentní	parliamentary
porod	childbirth
profil	profile
rozšiřovat	circulate
odpovědný	responsible
přenášet	transfer
obžalovaný	defendant
medvěd	bear
sledování	observation
určení	designation
James	James
komplikace	complication
předvádět	parade
komunita	community
nápadně	noticeably
nejistota	uncertainty
mýlit	wrong
slovensko	Slovakia
udělit	grant
výzkumný	Research
koření	spices
pociťovat	feel
puška	rifle
primární	primary
rodit	bear
rezerva	reserve
balík	package
vypravit	dispatch
játra	liver
dodržovat	follow
otevření	opening
arabský	Arabic
čtvrtina	quarter
hádat	guess
oženit	marry
švýcarský	Swiss
luxusní	luxury
úrokový	Interest Rate
předstírat	feign
klinika	clinic
polní	field
poslání	mission
trůn	throne
krásně	beautifully
automatický	automatic
zasahovat	encroach
působnost	activity
uznávat	acknowledge
nakupovat	buy
sdělení	communication
teroristický	terrorist
londýnský	London
prodejce	vendor
úřední	official
vagón	wagon
IV	IV
péci	bake
sobotní	Saturday
coby	what would
použitý	used
laskavý	kind
stabilní	stable
ozývat	reverberate
rozběhnout	run
tyč	rod
upravený	adapted
cizina	foreign countries
lord	lord
pokladna	box office
pršet	rain
objektivní	objective
redaktor	editor
kohout	rooster
